Vendedor,País,Produto,Data,Valor,Caixas Enviadas,Valor_por_Caixa,Ano,Mes
Madelene Upcott,Australia,99% Dark & Pure,2022-08-01,4326.0,154,28.09090909090909,2022,8
Mallorie Waber,Australia,Eclairs,2022-08-22,9527.0,222,42.914414414414416,2022,8
Marney O'Breen,India,99% Dark & Pure,2022-07-22,10766.0,157,68.5732484076433,2022,7
Husein Augar,USA,Fruit & Nut Bars,2022-04-28,1288.0,27,47.7037037037037,2022,4
Kelci Walkden,Australia,Almond Choco,2022-05-30,4879.0,350,13.94,2022,5
Ches Bonnell,USA,Milk Bars,2022-07-21,2408.0,157,15.337579617834395,2022,7
Jan Morforth,UK,Caramel Stuffed Bars,2022-08-02,3094.0,468,6.611111111111111,2022,8
Brien Boise,New Zealand,70% Dark Bites,2022-06-15,7231.0,130,55.62307692307692,2022,6
Oby Sorrel,India,85% Dark Bars,2022-07-05,8981.0,130,69.08461538461539,2022,7
Kaine Padly,New Zealand,Smooth Sliky Salty,2022-04-12,7.0,518,0.013513513513513514,2022,4
Gigi Bohling,Australia,70% Dark Bites,2022-08-18,1372.0,105,13.066666666666666,2022,8
Jan Morforth,UK,50% Dark Bites,2022-01-12,5250.0,293,17.918088737201366,2022,1
Gunar Cockshoot,Canada,White Choc,2022-08-11,7560.0,15,504.0,2022,8
Jehu Rudeforth,Australia,Spicy Special Slims,2022-01-13,5012.0,384,13.052083333333334,2022,1
Husein Augar,UK,Baker's Choco Chips,2022-04-29,3038.0,135,22.503703703703703,2022,4
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,1099.0,92,11.945652173913043,2022,7
Madelene Upcott,New Zealand,Mint Chip Choco,2022-03-11,7413.0,4,1853.25,2022,3
Madelene Upcott,UK,70% Dark Bites,2022-02-16,5397.0,239,22.581589958158997,2022,2
Barr Faughny,Australia,Organic Choco Syrup,2022-01-07,2303.0,33,69.78787878787878,2022,1
Beverie Moffet,New Zealand,Drinking Coco,2022-01-12,1141.0,518,2.2027027027027026,2022,1
Beverie Moffet,India,Eclairs,2022-06-09,10325.0,147,70.23809523809524,2022,6
Andria Kimpton,India,Eclairs,2022-05-16,2149.0,84,25.583333333333332,2022,5
Gigi Bohling,UK,85% Dark Bars,2022-06-23,12362.0,94,131.51063829787233,2022,6
Roddy Speechley,UK,Raspberry Choco,2022-01-28,12635.0,194,65.12886597938144,2022,1
Dotty Strutley,UK,Mint Chip Choco,2022-07-14,2443.0,216,11.310185185185185,2022,7
Barr Faughny,Canada,Drinking Coco,2022-04-18,6237.0,247,25.251012145748987,2022,4
Oby Sorrel,USA,Milk Bars,2022-06-14,1736.0,79,21.974683544303797,2022,6
Oby Sorrel,UK,Orange Choco,2022-04-15,7315.0,237,30.864978902953588,2022,4
Curtice Advani,Canada,Peanut Butter Cubes,2022-05-19,4935.0,63,78.33333333333333,2022,5
Gigi Bohling,India,White Choc,2022-04-13,1393.0,172,8.098837209302326,2022,4
Husein Augar,Canada,Choco Coated Almonds,2022-08-15,3381.0,408,8.286764705882353,2022,8
Wilone O'Kielt,India,Choco Coated Almonds,2022-08-22,2933.0,233,12.587982832618026,2022,8
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2022-04-22,3836.0,59,65.01694915254237,2022,4
Kaine Padly,UK,Choco Coated Almonds,2022-08-03,8022.0,123,65.21951219512195,2022,8
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2022-01-04,371.0,229,1.6200873362445414,2022,1
Kelci Walkden,Canada,After Nines,2022-01-13,16702.0,198,84.35353535353535,2022,1
Van Tuxwell,Australia,Baker's Choco Chips,2022-05-11,13258.0,32,414.3125,2022,5
Husein Augar,New Zealand,Peanut Butter Cubes,2022-02-16,2058.0,236,8.720338983050848,2022,2
Kaine Padly,UK,Caramel Stuffed Bars,2022-05-20,10192.0,67,152.11940298507463,2022,5
Jehu Rudeforth,UK,Drinking Coco,2022-02-03,7140.0,438,16.301369863013697,2022,2
Beverie Moffet,India,Manuka Honey Choco,2022-05-06,9835.0,167,58.89221556886228,2022,5
Gunar Cockshoot,UK,Choco Coated Almonds,2022-06-30,5775.0,135,42.77777777777778,2022,6
Gunar Cockshoot,UK,Smooth Sliky Salty,2022-03-22,749.0,148,5.0608108108108105,2022,3
Camilla Castle,Canada,Orange Choco,2022-02-17,7770.0,54,143.88888888888889,2022,2
Jehu Rudeforth,UK,85% Dark Bars,2022-07-07,5502.0,64,85.96875,2022,7
Oby Sorrel,UK,70% Dark Bites,2022-03-16,6223.0,181,34.38121546961326,2022,3
Kelci Walkden,UK,99% Dark & Pure,2022-08-12,3507.0,114,30.763157894736842,2022,8
Gigi Bohling,New Zealand,After Nines,2022-01-21,5600.0,181,30.939226519337016,2022,1
Oby Sorrel,Australia,50% Dark Bites,2022-05-06,721.0,151,4.774834437086093,2022,5
Oby Sorrel,Canada,50% Dark Bites,2022-06-24,6615.0,137,48.284671532846716,2022,6
Barr Faughny,USA,White Choc,2022-05-05,7420.0,163,45.52147239263804,2022,5
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2022-03-25,3164.0,84,37.666666666666664,2022,3
Curtice Advani,Australia,Caramel Stuffed Bars,2022-02-14,9114.0,140,65.1,2022,2
Curtice Advani,New Zealand,85% Dark Bars,2022-05-12,5404.0,187,28.898395721925134,2022,5
Barr Faughny,New Zealand,Smooth Sliky Salty,2022-01-25,3990.0,169,23.609467455621303,2022,1
Ches Bonnell,UK,85% Dark Bars,2022-06-28,14924.0,12,1243.6666666666667,2022,6
Dennison Crosswaite,Australia,Drinking Coco,2022-07-13,7091.0,194,36.55154639175258,2022,7
Roddy Speechley,USA,Milk Bars,2022-05-16,2807.0,252,11.13888888888889,2022,5
Jan Morforth,India,After Nines,2022-03-14,6496.0,168,38.666666666666664,2022,3
Gunar Cockshoot,USA,After Nines,2022-08-15,3738.0,261,14.32183908045977,2022,8
Ches Bonnell,India,Orange Choco,2022-02-16,1190.0,256,4.6484375,2022,2
Mallorie Waber,UK,Manuka Honey Choco,2022-06-15,8379.0,43,194.86046511627907,2022,6
Barr Faughny,Australia,Raspberry Choco,2022-05-27,9268.0,100,92.68,2022,5
Wilone O'Kielt,USA,Drinking Coco,2022-06-14,1029.0,98,10.5,2022,6
Wilone O'Kielt,India,Eclairs,2022-02-25,3549.0,76,46.69736842105263,2022,2
Wilone O'Kielt,India,After Nines,2022-08-04,12026.0,262,45.900763358778626,2022,8
Kelci Walkden,India,99% Dark & Pure,2022-06-28,2303.0,244,9.438524590163935,2022,6
Gunar Cockshoot,Canada,Spicy Special Slims,2022-04-05,13405.0,12,1117.0833333333333,2022,4
Madelene Upcott,Canada,Peanut Butter Cubes,2022-07-05,14763.0,113,130.64601769911505,2022,7
Kaine Padly,New Zealand,Eclairs,2022-01-20,12894.0,48,268.625,2022,1
Ches Bonnell,New Zealand,Drinking Coco,2022-02-16,8302.0,131,63.37404580152672,2022,2
Curtice Advani,UK,Drinking Coco,2022-07-12,455.0,174,2.6149425287356323,2022,7
Kelci Walkden,India,Raspberry Choco,2022-06-16,8183.0,254,32.21653543307087,2022,6
Dotty Strutley,Australia,Choco Coated Almonds,2022-04-13,1645.0,284,5.792253521126761,2022,4
Kaine Padly,UK,50% Dark Bites,2022-02-21,3143.0,67,46.91044776119403,2022,2
Roddy Speechley,Canada,Choco Coated Almonds,2022-05-11,5873.0,249,23.586345381526105,2022,5
Ches Bonnell,India,50% Dark Bites,2022-04-15,11298.0,313,36.09584664536741,2022,4
Oby Sorrel,Canada,Peanut Butter Cubes,2022-06-07,12425.0,167,74.40119760479043,2022,6
Oby Sorrel,UK,White Choc,2022-06-27,1715.0,286,5.996503496503497,2022,6
Barr Faughny,India,After Nines,2022-07-29,8190.0,109,75.13761467889908,2022,7
Wilone O'Kielt,Canada,Smooth Sliky Salty,2022-06-02,4991.0,166,30.066265060240966,2022,6
Rafaelita Blaksland,India,Mint Chip Choco,2022-01-26,15491.0,85,182.24705882352941,2022,1
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-03-02,5096.0,142,35.88732394366197,2022,3
Van Tuxwell,Australia,70% Dark Bites,2022-01-10,7063.0,104,67.91346153846153,2022,1
Beverie Moffet,USA,70% Dark Bites,2022-06-27,2275.0,115,19.782608695652176,2022,6
Barr Faughny,Canada,Orange Choco,2022-06-30,7602.0,18,422.3333333333333,2022,6
Roddy Speechley,Australia,85% Dark Bars,2022-07-08,4200.0,80,52.5,2022,7
Oby Sorrel,India,Spicy Special Slims,2022-06-08,11137.0,88,126.55681818181819,2022,6
Jan Morforth,UK,Manuka Honey Choco,2022-08-18,3388.0,212,15.981132075471699,2022,8
Kaine Padly,Australia,After Nines,2022-04-08,6832.0,306,22.326797385620914,2022,4
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,3437.0,181,18.988950276243095,2022,8
Wilone O'Kielt,UK,Milk Bars,2022-08-26,301.0,65,4.630769230769231,2022,8
Oby Sorrel,Canada,Fruit & Nut Bars,2022-01-14,1869.0,158,11.829113924050633,2022,1
Dennison Crosswaite,USA,Baker's Choco Chips,2022-08-11,17465.0,271,64.44649446494465,2022,8
Madelene Upcott,USA,Almond Choco,2022-05-31,10143.0,24,422.625,2022,5
Van Tuxwell,New Zealand,50% Dark Bites,2022-07-11,3626.0,10,362.6,2022,7
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2022-03-02,3346.0,304,11.006578947368421,2022,3
Madelene Upcott,Australia,Raspberry Choco,2022-07-13,6321.0,88,71.82954545454545,2022,7
Rafaelita Blaksland,UK,Spicy Special Slims,2022-08-03,9345.0,133,70.26315789473684,2022,8
Curtice Advani,UK,Peanut Butter Cubes,2022-03-01,15008.0,165,90.95757575757575,2022,3
Kelci Walkden,New Zealand,White Choc,2022-04-13,7609.0,150,50.72666666666667,2022,4
Beverie Moffet,Canada,Fruit & Nut Bars,2022-02-14,10332.0,180,57.4,2022,2
Mallorie Waber,India,White Choc,2022-07-26,819.0,213,3.8450704225352115,2022,7
Brien Boise,UK,Drinking Coco,2022-01-27,5754.0,133,43.26315789473684,2022,1
Jehu Rudeforth,India,Peanut Butter Cubes,2022-04-14,28.0,446,0.06278026905829596,2022,4
Oby Sorrel,USA,Almond Choco,2022-05-19,6440.0,141,45.673758865248224,2022,5
Husein Augar,India,Eclairs,2022-02-09,4956.0,58,85.44827586206897,2022,2
Brien Boise,UK,Spicy Special Slims,2022-05-25,2352.0,58,40.55172413793103,2022,5
Oby Sorrel,Australia,Manuka Honey Choco,2022-01-26,3906.0,76,51.39473684210526,2022,1
Beverie Moffet,India,White Choc,2022-07-04,1813.0,296,6.125,2022,7
Ches Bonnell,India,Almond Choco,2022-04-13,11788.0,73,161.4794520547945,2022,4
Gigi Bohling,Australia,Smooth Sliky Salty,2022-01-25,5768.0,119,48.470588235294116,2022,1
Camilla Castle,USA,85% Dark Bars,2022-04-25,2401.0,78,30.78205128205128,2022,4
Camilla Castle,USA,Eclairs,2022-06-10,4515.0,392,11.517857142857142,2022,6
Madelene Upcott,New Zealand,White Choc,2022-08-22,10794.0,51,211.64705882352942,2022,8
Van Tuxwell,India,After Nines,2022-06-27,13706.0,207,66.21256038647343,2022,6
Husein Augar,India,Orange Choco,2022-06-30,4361.0,40,109.025,2022,6
Jehu Rudeforth,India,Almond Choco,2022-08-30,10122.0,100,101.22,2022,8
Karlen McCaffrey,Australia,Raspberry Choco,2022-08-23,994.0,57,17.43859649122807,2022,8
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,2268.0,42,54.0,2022,8
Gigi Bohling,Australia,Orange Choco,2022-03-09,574.0,156,3.6794871794871793,2022,3
Kelci Walkden,UK,Drinking Coco,2022-04-20,1792.0,23,77.91304347826087,2022,4
Mallorie Waber,Canada,Caramel Stuffed Bars,2022-06-10,4844.0,539,8.987012987012987,2022,6
Husein Augar,Australia,Organic Choco Syrup,2022-02-08,938.0,158,5.936708860759493,2022,2
Brien Boise,Australia,White Choc,2022-08-25,4879.0,22,221.77272727272728,2022,8
Dotty Strutley,India,Peanut Butter Cubes,2022-02-16,9107.0,73,124.75342465753425,2022,2
Dennison Crosswaite,UK,99% Dark & Pure,2022-05-30,12187.0,27,451.3703703703704,2022,5
Gigi Bohling,New Zealand,50% Dark Bites,2022-06-29,5670.0,64,88.59375,2022,6
Gigi Bohling,USA,Milk Bars,2022-06-16,476.0,133,3.5789473684210527,2022,6
Brien Boise,UK,Caramel Stuffed Bars,2022-03-04,2681.0,149,17.993288590604028,2022,3
Curtice Advani,New Zealand,Peanut Butter Cubes,2022-03-15,1533.0,434,3.532258064516129,2022,3
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,9765.0,85,114.88235294117646,2022,1
Beverie Moffet,Canada,Drinking Coco,2022-07-05,994.0,118,8.423728813559322,2022,7
Barr Faughny,USA,Caramel Stuffed Bars,2022-03-29,3318.0,299,11.096989966555183,2022,3
Mallorie Waber,Canada,Almond Choco,2022-05-12,4214.0,35,120.4,2022,5
Oby Sorrel,USA,Drinking Coco,2022-03-11,7714.0,44,175.3181818181818,2022,3
Brien Boise,New Zealand,Eclairs,2022-07-11,4690.0,299,15.68561872909699,2022,7
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-08-01,13062.0,62,210.67741935483872,2022,8
Gunar Cockshoot,UK,Spicy Special Slims,2022-02-16,12488.0,200,62.44,2022,2
Curtice Advani,USA,After Nines,2022-04-13,14147.0,235,60.2,2022,4
Oby Sorrel,India,Choco Coated Almonds,2022-02-14,49.0,363,0.1349862258953168,2022,2
Ches Bonnell,Australia,Peanut Butter Cubes,2022-03-14,10199.0,68,149.98529411764707,2022,3
Oby Sorrel,Australia,Spicy Special Slims,2022-04-26,11389.0,26,438.03846153846155,2022,4
Jehu Rudeforth,Canada,Manuka Honey Choco,2022-04-05,3584.0,200,17.92,2022,4
Camilla Castle,Canada,Drinking Coco,2022-03-03,12481.0,264,47.27651515151515,2022,3
Kaine Padly,USA,Spicy Special Slims,2022-06-13,2107.0,175,12.04,2022,6
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,8603.0,352,24.44034090909091,2022,2
Roddy Speechley,New Zealand,99% Dark & Pure,2022-04-18,7483.0,183,40.89071038251366,2022,4
Oby Sorrel,New Zealand,85% Dark Bars,2022-02-01,3381.0,417,8.107913669064748,2022,2
Dotty Strutley,New Zealand,Orange Choco,2022-08-04,2030.0,146,13.904109589041095,2022,8
Andria Kimpton,New Zealand,Almond Choco,2022-04-05,6559.0,158,41.5126582278481,2022,4
Karlen McCaffrey,Australia,99% Dark & Pure,2022-01-26,10822.0,168,64.41666666666667,2022,1
Kaine Padly,UK,After Nines,2022-01-21,18697.0,176,106.23295454545455,2022,1
Kaine Padly,Canada,After Nines,2022-08-22,5845.0,172,33.98255813953488,2022,8
Kaine Padly,UK,Drinking Coco,2022-01-27,2317.0,224,10.34375,2022,1
Rafaelita Blaksland,UK,50% Dark Bites,2022-02-16,10150.0,68,149.26470588235293,2022,2
Dotty Strutley,USA,Raspberry Choco,2022-01-03,3437.0,46,74.71739130434783,2022,1
Karlen McCaffrey,USA,White Choc,2022-08-24,4592.0,2,2296.0,2022,8
Oby Sorrel,USA,Spicy Special Slims,2022-02-07,5691.0,417,13.647482014388489,2022,2
Mallorie Waber,Australia,Smooth Sliky Salty,2022-02-11,4158.0,109,38.14678899082569,2022,2
Kaine Padly,Canada,Organic Choco Syrup,2022-03-29,5684.0,81,70.17283950617283,2022,3
Marney O'Breen,USA,Peanut Butter Cubes,2022-06-15,693.0,350,1.98,2022,6
Dennison Crosswaite,UK,Smooth Sliky Salty,2022-04-26,546.0,142,3.8450704225352115,2022,4
Brien Boise,Australia,Organic Choco Syrup,2022-07-15,4263.0,264,16.147727272727273,2022,7
Beverie Moffet,India,Organic Choco Syrup,2022-06-23,1036.0,20,51.8,2022,6
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-01-11,13846.0,421,32.888361045130644,2022,1
Beverie Moffet,UK,50% Dark Bites,2022-02-09,2499.0,271,9.22140221402214,2022,2
Van Tuxwell,UK,Almond Choco,2022-06-06,10689.0,204,52.39705882352941,2022,6
Dotty Strutley,UK,Caramel Stuffed Bars,2022-08-10,5768.0,235,24.54468085106383,2022,8
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-01-04,2226.0,46,48.391304347826086,2022,1
Andria Kimpton,Canada,70% Dark Bites,2022-04-08,10262.0,15,684.1333333333333,2022,4
Barr Faughny,UK,Milk Bars,2022-03-02,3864.0,430,8.986046511627906,2022,3
Van Tuxwell,Canada,Drinking Coco,2022-06-15,4900.0,709,6.91114245416079,2022,6
Jehu Rudeforth,Australia,After Nines,2022-02-14,5250.0,47,111.70212765957447,2022,2
Husein Augar,UK,After Nines,2022-07-05,3507.0,380,9.228947368421053,2022,7
Barr Faughny,India,Mint Chip Choco,2022-01-12,7413.0,465,15.941935483870967,2022,1
Curtice Advani,India,Mint Chip Choco,2022-03-03,8155.0,96,84.94791666666667,2022,3
Jehu Rudeforth,New Zealand,Milk Bars,2022-05-18,2478.0,188,13.180851063829786,2022,5
Gunar Cockshoot,India,Caramel Stuffed Bars,2022-07-28,2471.0,202,12.232673267326733,2022,7
Curtice Advani,UK,Manuka Honey Choco,2022-02-07,1666.0,106,15.716981132075471,2022,2
Andria Kimpton,India,Orange Choco,2022-05-30,301.0,421,0.7149643705463183,2022,5
Mallorie Waber,Australia,Raspberry Choco,2022-04-25,8400.0,27,311.1111111111111,2022,4
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,6139.0,45,136.42222222222222,2022,2
Kelci Walkden,Australia,Drinking Coco,2022-05-04,1288.0,60,21.466666666666665,2022,5
Van Tuxwell,Canada,70% Dark Bites,2022-06-02,7077.0,77,91.9090909090909,2022,6
Dennison Crosswaite,USA,Caramel Stuffed Bars,2022-07-11,2317.0,464,4.993534482758621,2022,7
Beverie Moffet,New Zealand,Spicy Special Slims,2022-06-07,63.0,60,1.05,2022,6
Jan Morforth,UK,Almond Choco,2022-07-06,9744.0,157,62.06369426751592,2022,7
Husein Augar,India,Raspberry Choco,2022-06-15,9954.0,154,64.63636363636364,2022,6
Dotty Strutley,India,Mint Chip Choco,2022-04-14,1260.0,239,5.2719665271966525,2022,4
Camilla Castle,India,Drinking Coco,2022-08-08,469.0,163,2.8773006134969323,2022,8
Marney O'Breen,UK,Drinking Coco,2022-03-29,973.0,28,34.75,2022,3
Roddy Speechley,Australia,Organic Choco Syrup,2022-07-04,3647.0,76,47.98684210526316,2022,7
Ches Bonnell,India,99% Dark & Pure,2022-02-16,455.0,96,4.739583333333333,2022,2
Rafaelita Blaksland,Canada,Spicy Special Slims,2022-05-02,2520.0,156,16.153846153846153,2022,5
Van Tuxwell,India,Eclairs,2022-07-21,10500.0,106,99.05660377358491,2022,7
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,7952.0,235,33.838297872340426,2022,8
Kaine Padly,USA,85% Dark Bars,2022-06-22,483.0,259,1.864864864864865,2022,6
Camilla Castle,UK,Peanut Butter Cubes,2022-07-19,4872.0,126,38.666666666666664,2022,7
Madelene Upcott,UK,Peanut Butter Cubes,2022-08-12,7756.0,85,91.24705882352941,2022,8
Madelene Upcott,USA,Choco Coated Almonds,2022-06-07,5446.0,132,41.25757575757576,2022,6
Marney O'Breen,Canada,Peanut Butter Cubes,2022-03-08,6594.0,91,72.46153846153847,2022,3
Ches Bonnell,Australia,Choco Coated Almonds,2022-04-08,1470.0,167,8.802395209580839,2022,4
Curtice Advani,Canada,Eclairs,2022-05-06,721.0,203,3.5517241379310347,2022,5
Roddy Speechley,India,Drinking Coco,2022-05-31,4494.0,11,408.54545454545456,2022,5
Van Tuxwell,Australia,Mint Chip Choco,2022-01-13,2674.0,295,9.064406779661017,2022,1
Dennison Crosswaite,USA,70% Dark Bites,2022-03-15,658.0,77,8.545454545454545,2022,3
Andria Kimpton,Canada,Peanut Butter Cubes,2022-02-16,1127.0,319,3.5329153605015673,2022,2
Gigi Bohling,USA,70% Dark Bites,2022-01-14,7364.0,196,37.57142857142857,2022,1
Rafaelita Blaksland,Australia,White Choc,2022-03-21,6818.0,102,66.84313725490196,2022,3
Roddy Speechley,Canada,Drinking Coco,2022-05-17,6776.0,312,21.71794871794872,2022,5
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,15099.0,55,274.5272727272727,2022,8
Madelene Upcott,Canada,Milk Bars,2022-04-26,3612.0,82,44.048780487804876,2022,4
Madelene Upcott,Australia,70% Dark Bites,2022-04-15,3710.0,260,14.26923076923077,2022,4
Oby Sorrel,Canada,Eclairs,2022-05-19,6111.0,591,10.34010152284264,2022,5
Dennison Crosswaite,Canada,Drinking Coco,2022-01-10,2702.0,24,112.58333333333333,2022,1
Mallorie Waber,New Zealand,After Nines,2022-05-04,483.0,228,2.1184210526315788,2022,5
Roddy Speechley,Canada,White Choc,2022-04-05,5887.0,268,21.96641791044776,2022,4
Andria Kimpton,India,After Nines,2022-01-17,952.0,68,14.0,2022,1
Roddy Speechley,India,Spicy Special Slims,2022-03-22,10647.0,173,61.543352601156066,2022,3
Dotty Strutley,Australia,White Choc,2022-07-05,6055.0,93,65.10752688172043,2022,7
Oby Sorrel,Canada,Orange Choco,2022-04-27,8757.0,338,25.90828402366864,2022,4
Kaine Padly,Canada,Almond Choco,2022-08-12,6055.0,73,82.94520547945206,2022,8
Jan Morforth,UK,Baker's Choco Chips,2022-03-11,721.0,251,2.8725099601593627,2022,3
Jehu Rudeforth,UK,Fruit & Nut Bars,2022-05-13,8589.0,229,37.506550218340614,2022,5
Dennison Crosswaite,USA,Smooth Sliky Salty,2022-05-12,11781.0,91,129.46153846153845,2022,5
Brien Boise,USA,Raspberry Choco,2022-01-12,672.0,194,3.463917525773196,2022,1
Madelene Upcott,New Zealand,Milk Bars,2022-03-29,12558.0,403,31.161290322580644,2022,3
Roddy Speechley,India,50% Dark Bites,2022-03-14,8337.0,12,694.75,2022,3
Barr Faughny,New Zealand,99% Dark & Pure,2022-05-24,8134.0,195,41.712820512820514,2022,5
Dennison Crosswaite,Canada,Organic Choco Syrup,2022-01-28,8491.0,75,113.21333333333334,2022,1
Beverie Moffet,India,Almond Choco,2022-05-24,3066.0,96,31.9375,2022,5
Brien Boise,Australia,Peanut Butter Cubes,2022-08-19,301.0,205,1.4682926829268292,2022,8
Karlen McCaffrey,Australia,Spicy Special Slims,2022-05-17,4410.0,323,13.653250773993808,2022,5
Jehu Rudeforth,USA,White Choc,2022-06-07,6559.0,119,55.11764705882353,2022,6
Ches Bonnell,Canada,Organic Choco Syrup,2022-07-26,574.0,217,2.6451612903225805,2022,7
Dotty Strutley,India,Eclairs,2022-07-28,2086.0,384,5.432291666666667,2022,7
Karlen McCaffrey,India,70% Dark Bites,2022-05-23,5075.0,344,14.752906976744185,2022,5
Jehu Rudeforth,UK,Mint Chip Choco,2023-01-04,5902.13,178,33.15803370786517,2023,1
Van Tuxwell,India,85% Dark Bars,2023-08-01,8074.39,100,80.7439,2023,8
Gigi Bohling,India,Peanut Butter Cubes,2023-07-07,4666.18,100,46.6618,2023,7
Jan Morforth,Australia,Peanut Butter Cubes,2023-04-27,14103.4,350,40.29542857142857,2023,4
Jehu Rudeforth,UK,Peanut Butter Cubes,2023-02-24,14167.84,178,79.59460674157303,2023,2
Van Tuxwell,India,Smooth Sliky Salty,2023-06-06,5768.75,37,155.91216216216216,2023,6
Oby Sorrel,UK,99% Dark & Pure,2023-01-25,14673.2,175,83.84685714285715,2023,1
Gunar Cockshoot,Australia,After Nines,2023-03-24,3249.23,78,41.65679487179487,2023,3
Jehu Rudeforth,New Zealand,50% Dark Bites,2023-04-20,4526.24,64,70.7225,2023,4
Brien Boise,Australia,99% Dark & Pure,2023-07-04,3166.56,98,32.31183673469388,2023,7
Rafaelita Blaksland,UK,Smooth Sliky Salty,2023-01-13,4866.39,65,74.86753846153847,2023,1
Barr Faughny,USA,Orange Choco,2023-03-10,4254.37,12,354.5308333333333,2023,3
Mallorie Waber,Canada,Eclairs,2023-01-13,1652.61,277,5.96610108303249,2023,1
Karlen McCaffrey,New Zealand,Drinking Coco,2023-07-28,171.49,163,1.0520858895705523,2023,7
Marney O'Breen,New Zealand,Peanut Butter Cubes,2023-08-03,8549.84,169,50.59076923076923,2023,8
Beverie Moffet,Australia,Organic Choco Syrup,2023-01-26,7807.74,355,21.993633802816902,2023,1
Van Tuxwell,Canada,Organic Choco Syrup,2023-02-14,4561.43,44,103.66886363636364,2023,2
Roddy Speechley,USA,Smooth Sliky Salty,2023-04-05,3041.12,148,20.548108108108107,2023,4
Beverie Moffet,Canada,Milk Bars,2023-02-16,9786.09,248,39.460040322580646,2023,2
Curtice Advani,UK,85% Dark Bars,2023-06-08,1131.25,175,6.464285714285714,2023,6
Brien Boise,Australia,Eclairs,2023-06-27,7484.07,94,79.6177659574468,2023,6
Gunar Cockshoot,USA,Spicy Special Slims,2023-02-17,1339.61,166,8.069939759036144,2023,2
Marney O'Breen,USA,After Nines,2023-05-30,5481.18,159,34.47283018867925,2023,5
Husein Augar,UK,Drinking Coco,2023-03-14,3275.4,120,27.295,2023,3
Kaine Padly,Australia,Eclairs,2023-02-28,7677.78,118,65.06593220338983,2023,2
Karlen McCaffrey,India,Fruit & Nut Bars,2023-01-26,189.37,315,0.6011746031746031,2023,1
Roddy Speechley,Canada,Spicy Special Slims,2023-02-09,1658.79,193,8.594766839378238,2023,2
Husein Augar,USA,Eclairs,2023-07-07,4168.93,122,34.17155737704918,2023,7
Dennison Crosswaite,New Zealand,White Choc,2023-07-05,10604.89,165,64.2720606060606,2023,7
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2023-06-15,5773.51,325,17.764646153846154,2023,6
Van Tuxwell,New Zealand,85% Dark Bars,2023-05-24,1838.78,121,15.196528925619834,2023,5
Rafaelita Blaksland,UK,99% Dark & Pure,2023-06-29,12643.1,150,84.28733333333334,2023,6
Wilone O'Kielt,Australia,Manuka Honey Choco,2023-05-11,4439.52,95,46.731789473684216,2023,5
Karlen McCaffrey,UK,Almond Choco,2023-06-30,7698.6,126,61.1,2023,6
Andria Kimpton,Canada,After Nines,2023-05-11,2222.3,77,28.861038961038965,2023,5
Roddy Speechley,USA,Manuka Honey Choco,2023-07-22,10959.02,302,36.28814569536424,2023,7
Andria Kimpton,UK,50% Dark Bites,2023-08-24,2854.85,337,8.471364985163204,2023,8
Kelci Walkden,New Zealand,After Nines,2023-07-07,147.82,74,1.9975675675675675,2023,7
Camilla Castle,Australia,85% Dark Bars,2023-05-19,3790.51,14,270.7507142857143,2023,5
Karlen McCaffrey,India,Manuka Honey Choco,2023-07-04,2487.19,583,4.266192109777015,2023,7
Kelci Walkden,USA,After Nines,2023-06-02,1021.27,17,60.07470588235294,2023,6
Karlen McCaffrey,USA,Raspberry Choco,2023-04-15,15370.06,353,43.54124645892351,2023,4
Mallorie Waber,Canada,Choco Coated Almonds,2023-07-11,5345.58,250,21.38232,2023,7
Andria Kimpton,India,Spicy Special Slims,2023-02-23,6559.44,154,42.59376623376623,2023,2
Madelene Upcott,Canada,Almond Choco,2023-08-22,8282.93,107,77.41056074766355,2023,8
Kaine Padly,USA,Peanut Butter Cubes,2023-02-16,6981.4,189,36.93862433862434,2023,2
Van Tuxwell,USA,50% Dark Bites,2023-01-13,10280.17,155,66.32367741935484,2023,1
Curtice Advani,Australia,Milk Bars,2023-02-14,7703.62,20,385.181,2023,2
Roddy Speechley,India,Eclairs,2023-06-10,4489.81,310,14.48325806451613,2023,6
Curtice Advani,India,Fruit & Nut Bars,2023-07-07,5806.11,190,30.558473684210526,2023,7
Curtice Advani,Canada,Almond Choco,2023-03-24,5148.7,76,67.74605263157895,2023,3
